2025-07-16 13:40:14,517 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 13:40:16,370 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,399 [INFO] Phone migrated to 4
2025-07-16 13:40:35,599 [INFO] Reconnecting to new data center 4
2025-07-16 13:40:35,766 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 13:40:35,767 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,767 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2025-07-16 13:40:37,528 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2025-07-16 13:41:43,078 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:43,820 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:44,723 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:45,403 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:46,132 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:46,507 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:47,919 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:48,778 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:49,129 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:49,821 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:50,403 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:50,928 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:51,559 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:51,885 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:53,550 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:54,943 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:55,254 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:56,127 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:56,380 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:57,187 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:58,025 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:58,417 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:59,231 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:59,645 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:00,826 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:02,108 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:02,451 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:03,400 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:03,992 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:05,368 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:05,959 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:06,593 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:06,988 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:07,339 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:07,989 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
